"Fort Albany and Kashechewan First Nation [First Nation/Indian band or Tribal Council area], Ontario (Total - Sex) (Total - Age groups)"
"Topic","Characteristics","Note","Total_Aboriginal_identity(1)","Flag_Total_Aboriginal_identity","Aboriginal_identity(2)","Flag_Aboriginal_identity","Single_Aboriginal_responses(3)","Flag_Single_Aboriginal_responses","First_Nations(4)","Flag_First_Nations","Métis","Flag_Métis","Inuk (Inuit)","Flag_Inuk","Multiple_Aboriginal_responses(5)","Flag_Multiple_Aboriginal_responses","Aboriginal_responses_nie(6)","Flag_Aboriginal_responses_nie","Non-Aboriginal_identity","Flag_Non-Aboriginal_identity"
"Language spoken at home","          Carrier",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","          Chilcotin",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","          Dene",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","          Dogrib (Tlicho)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","          Gwich'in",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","          Sarsi (Sarcee)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","          Sekani",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","          Slavey-Hare languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","            North Slavey (Hare)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","            South Slavey",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","            Slavey, n.o.s.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","          Tahltan languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","            Kaska (Nahani)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","            Tahltan",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","          Tutchone languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","            Northern Tutchone",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","            Southern Tutchone",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Athabaskan languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","      Haida",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","      Inuit languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Inuinnaqtun",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Inuktitut",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Inuvialuktun",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Inuit languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","      Iroquoian languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Cayuga",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Mohawk",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Oneida",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Iroquoian languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","      Kutenai",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","      Michif",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","      Salish languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Comox",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Halkomelem",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Lillooet",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Okanagan",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Shuswap (Secwepemctsin)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Squamish",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Straits",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Thompson (Ntlakapamux)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Salish languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","      Siouan languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Dakota",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Stoney",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Siouan languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","      Tlingit",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","      Tsimshian languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Gitxsan (Gitksan)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Nisga'a",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Tsimshian",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","      Wakashan languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Haisla",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Heiltsuk",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Kwakiutl (Kwak'wala)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Nuu-chah-nulth (Nootka)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Wakashan languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","      Aboriginal languages, n.o.s.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","    Non-Aboriginal languages",,20,,0,,0,,0,,0,,0,,0,,0,,20,
"Knowledge of languages","Total - Knowledge of languages for the population in private households - 25% Sample Data",42,2160,,2115,,2115,,2115,,0,,0,,0,,0,,50,
"Knowledge of languages","  Official languages",,2145,,2095,,2095,,2095,,0,,0,,0,,0,,50,
"Knowledge of languages","    English",,2140,,2095,,2095,,2090,,0,,0,,0,,0,,50,
"Knowledge of languages","    French",,10,,0,,0,,10,,0,,0,,0,,0,,10,
"Knowledge of languages","  Non-official languages",,1735,,1710,,1710,,1710,,0,,0,,0,,0,,25,
"Knowledge of languages","    Aboriginal languages",,1710,,1705,,1705,,1705,,0,,0,,0,,0,,0,
"Knowledge of languages","      Algonquian languages",,1710,,1710,,1710,,1710,,0,,0,,0,,0,,0,
"Knowledge of languages","        Blackfoot",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Cree-Montagnais languages",,1710,,1705,,1705,,1710,,0,,0,,0,,0,,10,
"Knowledge of languages","          Atikamekw",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","          Montagnais (Innu)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","          Moose Cree",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","          Naskapi",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","          Northern East Cree",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","          Plains Cree",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","          Southern East Cree",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","          Swampy Cree",,0,,10,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","          Woods Cree",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","          Cree, n.o.s.",,1705,,1705,,1700,,1700,,0,,0,,0,,0,,0,
"Knowledge of languages","        Eastern Algonquian languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","          Malecite",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","          Mi'kmaq",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Ojibway-Potawatomi languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","          Algonquin",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","          Ojibway",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","          Oji-Cree",,0,,0,,10,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","          Ottawa (Odawa)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Algonquian languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","      Athabaskan languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Northern Athabaskan languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","          Babine (Wetsuwet'en)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","          Beaver",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","          Carrier",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","          Chilcotin",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","          Dene",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","          Dogrib (Tlicho)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","          Gwich'in",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","          Sarsi (Sarcee)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","          Sekani",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","          Slavey-Hare languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","            North Slavey (Hare)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","            South Slavey",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","            Slavey, n.o.s.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","          Tahltan languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","            Kaska (Nahani)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","            Tahltan",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","          Tutchone languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","            Northern Tutchone",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","            Southern Tutchone",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Athabaskan languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","      Haida",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","      Inuit languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Inuinnaqtun",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Inuktitut",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Inuvialuktun",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Inuit languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","      Iroquoian languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Cayuga",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Mohawk",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Oneida",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Iroquoian languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","      Kutenai",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","      Michif",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","      Salish languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Comox",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Halkomelem",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Lillooet",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Okanagan",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Shuswap (Secwepemctsin)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Squamish",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Straits",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Thompson (Ntlakapamux)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Salish languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","      Siouan languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Dakota",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Stoney",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Siouan languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","      Tlingit",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","      Tsimshian languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Gitxsan (Gitksan)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Nisga'a",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Tsimshian",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","      Wakashan languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Haisla",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Heiltsuk",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Kwakiutl (Kwak'wala)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Nuu-chah-nulth (Nootka)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","        Wakashan languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","      Aboriginal languages, n.o.s.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of languages","    Non-Aboriginal languages",,30,,10,,10,,0,,0,,0,,0,,0,,25,
"Mobility status","Total - Mobility status 1 year ago for the population aged 1 year and over in private households - 25% sample data",43,2115,,2065,,2065,,2065,,0,,0,,0,,0,,45,
"Mobility status","  Non-movers",,1930,,1905,,1905,,1910,,0,,0,,0,,0,,25,
"Mobility status","  Movers",,180,,160,,160,,160,,0,,0,,0,,0,,25,
"Mobility status","    Non-migrants",,95,,95,,95,,95,,0,,0,,0,,0,,10,
"Mobility status","    Migrants",,90,,65,,60,,65,,0,,0,,0,,0,,25,
"Mobility status","      Internal migrants",,75,,65,,65,,60,,0,,0,,0,,0,,10,
"Mobility status","        Intraprovincial migrants",,75,,60,,60,,60,,0,,0,,0,,0,,10,
"Mobility status","        Interprovincial migrants",,10,,0,,10,,0,,0,,0,,0,,0,,0,
"Mobility status","      External migrants",,10,,0,,0,,0,,0,,0,,0,,0,,15,
"Mobility status","Total - Mobility status 5 years ago for the population aged 5 years and over in private households - 25% sample data",44,1895,,1850,,1850,,1850,,0,,0,,0,,0,,45,
"Mobility status","  Non-movers",,1430,,1415,,1420,,1415,,0,,0,,0,,0,,10,
"Mobility status","  Movers",,470,,430,,430,,435,,0,,0,,0,,0,,35,
"Mobility status","    Non-migrants",,285,,275,,275,,275,,0,,0,,0,,0,,10,
"Mobility status","    Migrants",,185,,160,,155,,155,,0,,0,,0,,0,,25,
"Mobility status","      Internal migrants",,175,,155,,155,,155,,0,,0,,0,,0,,15,
"Mobility status","        Intraprovincial migrants",,155,,140,,140,,140,,0,,0,,0,,0,,15,
"Mobility status","        Interprovincial migrants",,20,,20,,15,,15,,0,,0,,0,,0,,0,
"Mobility status","      External migrants",,10,,0,,0,,0,,0,,0,,0,,0,,10,
"Secondary (high) school diploma or equivalency certificate","Total - Secondary (high) school diploma or equivalency certificate for the population aged 15 years and over in private households - 25% sample data",45,1395,,1355,,1355,,1355,,0,,0,,0,,0,,35,
"Secondary (high) school diploma or equivalency certificate","  No high school diploma or equivalency certificate",,935,,935,,930,,935,,0,,0,,0,,0,,0,
"Secondary (high) school diploma or equivalency certificate","    No high school diploma or equivalency certificate, no postsecondary certificate, diploma or degree",,875,,875,,880,,875,,0,,0,,0,,0,,0,
"Secondary (high) school diploma or equivalency certificate","    No high school diploma or equivalency certificate, with postsecondary certificate or diploma",46,60,,55,,55,,55,,0,,0,,0,,0,,0,
"Secondary (high) school diploma or equivalency certificate","  With high school diploma or equivalency certificate",,460,,420,,420,,420,,0,,0,,0,,0,,35,
"Secondary (high) school diploma or equivalency certificate","    With high school diploma or equivalency certificate, no postsecondary certificate, diploma or degree",,240,,235,,240,,235,,0,,0,,0,,0,,0,
"Secondary (high) school diploma or equivalency certificate","    With high school diploma or equivalency certificate, with postsecondary certificate, diploma or degree",47,220,,185,,185,,185,,0,,0,,0,,0,,35,
"Highest certificate, diploma or degree","Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",48,1395,,1355,,1355,,1355,,0,,0,,0,,0,,35,
"Highest certificate, diploma or degree","  No certificate, diploma or degree",,875,,875,,875,,875,,0,,0,,0,,0,,0,
"Highest certificate, diploma or degree","  Secondary (high) school diploma or equivalency certificate",49,235,,240,,240,,235,,0,,0,,0,,0,,0,
"Highest certificate, diploma or degree","  Apprenticeship or trades certificate or diploma",,65,,65,,65,,65,,0,,0,,0,,0,,0,
"Highest certificate, diploma or degree","    Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification",50,60,,55,,55,,60,,0,,0,,0,,0,,0,
"Highest certificate, diploma or degree","    Certificate of Apprenticeship or Certificate of Qualification",51,10,,0,,10,,0,,0,,0,,0,,0,,0,
"Highest certificate, diploma or degree","  College, CEGEP or other non-university certificate or diploma",,150,,135,,135,,130,,0,,0,,0,,0,,15,
"Highest certificate, diploma or degree","  University certificate or diploma below bachelor level",,35,,35,,30,,35,,0,,0,,0,,0,,10,
"Highest certificate, diploma or degree","  University certificate, diploma or degree at bachelor level or above",,30,,10,,10,,10,,0,,0,,0,,0,,20,
"Highest certificate, diploma or degree","    Bachelor's degree",,20,,10,,10,,10,,0,,0,,0,,0,,10,
"Highest certificate, diploma or degree","    University certificate, diploma or degree above bachelor level",52,0,,0,,0,,0,,0,,0,,0,,0,,10,
"Major field of study","Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 15 years and over in private households - 25% sample data",53,1395,,1355,,1355,,1355,,0,,0,,0,,0,,40,
"Major field of study","  No postsecondary certificate, diploma or degree",54,1115,,1115,,1115,,1115,,0,,0,,0,,0,,0,
"Major field of study","  Education",,35,,30,,35,,35,,0,,0,,0,,0,,0,
"Major field of study","    13. Education",,35,,35,,35,,35,,0,,0,,0,,0,,0,
"Major field of study","  Visual and performing arts, and communications technologies",,10,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    10. Communications technologies/technicians and support services",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    50. Visual and performing arts",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","  Humanities",,20,,15,,15,,15,,0,,0,,0,,0,,0,
"Major field of study","    16. Aboriginal and foreign languages, literatures and linguistics",,10,,10,,10,,0,,0,,0,,0,,0,,0,
"Major field of study","    23. English language and literature/letters",,10,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    24. Liberal arts and sciences, general studies and humanities",,15,,15,,15,,15,,0,,0,,0,,0,,0,
"Major field of study","    30A Interdisciplinary humanities",55,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    38. Philosophy and religious studies",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    39. Theology and religious vocations",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    54. History",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    55. French language and literature/letters",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","  Social and behavioural sciences and law",,10,,10,,10,,10,,0,,0,,0,,0,,0,
"Major field of study","    05. Area, ethnic, cultural, gender, and group studies",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    09. Communication, journalism and related programs",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    19. Family and consumer sciences/human sciences",,0,,0,,0,,10,,0,,0,,0,,0,,0,
"Major field of study","    22. Legal professions and studies",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    30B Interdisciplinary social and behavioural sciences",56,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    42. Psychology",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    45. Social sciences",,0,,10,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","  Business, management and public administration",,55,,50,,55,,50,,0,,0,,0,,0,,0,
"Major field of study","    30.16 Accounting and computer science",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    44. Public administration and social service professions",,15,,10,,10,,15,,0,,0,,0,,0,,0,
"Major field of study","    52. Business, management, marketing and related support services",,40,,40,,40,,40,,0,,0,,0,,0,,0,
"Major field of study","  Physical and life sciences and technologies",,0,,0,,10,,10,,0,,0,,0,,0,,0,
"Major field of study","    26. Biological and biomedical sciences",,10,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    30.01 Biological and physical sciences",,10,,10,,0,,10,,0,,0,,0,,0,,0,
"Major field of study","    30C Other interdisciplinary physical and life sciences",57,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    40. Physical sciences",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    41. Science technologies/technicians",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","  Mathematics, computer and information sciences",,10,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    11. Computer and information sciences and support services",,0,,0,,0,,10,,0,,0,,0,,0,,10,
"Major field of study","    25. Library science",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    27. Mathematics and statistics",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    30D Interdisciplinary mathematics, computer and information sciences",58,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","  Architecture, engineering, and related technologies",,50,,55,,55,,55,,0,,0,,0,,0,,0,
"Major field of study","    04. Architecture and related services",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    14. Engineering",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    15. Engineering technologies and engineering-related fields",,10,,10,,10,,10,,0,,0,,0,,0,,0,
"Major field of study","    30.12 Historic preservation and conservation",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    46. Construction trades",,35,,35,,35,,35,,0,,0,,0,,0,,0,
"Major field of study","    47. Mechanic and repair technologies/technicians",,10,,0,,10,,10,,0,,0,,0,,0,,0,
"Major field of study","    48. Precision production",,0,,0,,10,,10,,0,,0,,0,,0,,0,
"Major field of study","  Agriculture, natural resources and conservation",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    01. Agriculture, agriculture operations and related sciences",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    03. Natural resources and conservation",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","  Health and related fields",,60,,35,,35,,35,,0,,0,,0,,0,,25,
"Major field of study","    31. Parks, recreation, leisure and fitness studies",,0,,0,,0,,10,,0,,0,,0,,0,,0,
"Major field of study","    51. Health professions and related programs",,60,,35,,35,,30,,0,,0,,0,,0,,20,
"Major field of study","    60. Dental, medical and veterinary residency programs",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","  Personal, protective and transportation services",,35,,35,,35,,35,,0,,0,,0,,0,,0,
"Major field of study","    12. Personal and culinary services",,10,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    28. Military science, leadership and operational art",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    29. Military technologies and applied sciences",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    43. Security and protective services",,10,,10,,10,,10,,0,,0,,0,,0,,0,
"Major field of study","    49. Transportation and materials moving",,25,,20,,20,,25,,0,,0,,0,,0,,0,
"Major field of study","  Other",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Major field of study","    30.99 Multidisciplinary/interdisciplinary studies, other",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Labour force status","Total - Labour force status for the population aged 15 years and over in private households - 25% Sample data",59,1390,,1355,,1355,,1355,,0,,0,,0,,0,,40,
"Labour force status","  In the labour force",,625,,585,,590,,590,,0,,0,,0,,0,,40,
"Labour force status","    Employed",,480,,440,,445,,445,,0,,0,,0,,0,,35,
"Labour force status","    Unemployed",,150,,150,,145,,145,,0,,0,,0,,0,,0,
"Labour force status","  Not in the labour force",,765,,765,,765,,765,,0,,0,,0,,0,,0,
"Labour force status","Participation rate",,45,,43.2,,43.5,,43.5,,0,,0,,0,,0,,100,
"Labour force status","Employment rate",,34.5,,32.5,,32.8,,32.8,,0,,0,,0,,0,,87.5,
"Labour force status","Unemployment rate",,24,,25.6,,24.6,,24.6,,0,,0,,0,,0,,0,
"Class of worker","Total - Class of worker for the labour force aged 15 years and over in private households - 25% sample data",60,625,,585,,590,,585,,0,,0,,0,,0,,35,
"Class of worker","  Class of worker - not applicable",61,85,,85,,85,,85,,0,,0,,0,,0,,0,
"Class of worker","  All classes of workers",62,545,,505,,505,,505,,0,,0,,0,,0,,40,
"Class of worker","    Employee",,530,,495,,490,,490,,0,,0,,0,,0,,40,
"Class of worker","    Self-employed",63,15,,10,,15,,10,,0,,0,,0,,0,,0,
"Work activity during the reference year","Total - Work activity during the reference year for the population aged 15 years and over in private households - 25% sample data",64,1395,,1355,,1355,,1355,,0,,0,,0,,0,,35,
"Work activity during the reference year","  Did not work",65,740,,740,,740,,740,,0,,0,,0,,0,,10,
"Work activity during the reference year","  Worked",,650,,615,,615,,615,,0,,0,,0,,0,,35,
"Work activity during the reference year","    Worked full time",66,510,,480,,480,,480,,0,,0,,0,,0,,25,
"Work activity during the reference year","      1 to 13 weeks",,105,,100,,100,,100,,0,,0,,0,,0,,0,
"Work activity during the reference year","      14 to 26 weeks",,60,,55,,60,,55,,0,,0,,0,,0,,10,
"Work activity during the reference year","      27 to 39 weeks",,30,,20,,20,,25,,0,,0,,0,,0,,0,
"Work activity during the reference year","      40 to 48 weeks",,50,,45,,45,,45,,0,,0,,0,,0,,0,
"Work activity during the reference year","      49 to 52 weeks",,275,,255,,255,,255,,0,,0,,0,,0,,15,
"Work activity during the reference year","    Worked part time",67,140,,135,,135,,135,,0,,0,,0,,0,,10,
"Work activity during the reference year","      1 to 13 weeks",,55,,55,,55,,55,,0,,0,,0,,0,,0,
"Work activity during the reference year","      14 to 26 weeks",,35,,35,,35,,35,,0,,0,,0,,0,,0,
"Work activity during the reference year","      27 to 39 weeks",,0,,10,,0,,0,,0,,0,,0,,0,,0,
"Work activity during the reference year","      40 to 48 weeks",,10,,10,,10,,10,,0,,0,,0,,0,,0,
"Work activity during the reference year","      49 to 52 weeks",,40,,35,,35,,35,,0,,0,,0,,0,,10,
